id,city_name,City_Canonical_Name,Lat_Lon,Start_Time,End_Time,Temperature,Pressure,Humidity,Weather_ID
1,Ajman,"Ajman,Ajman,United Arab Emirates","25.41111,55.43504",1394679600,1394690399,297.8,1020.66,72,800
2,Ajman,"Ajman,Ajman,United Arab Emirates","25.41111,55.43504",1394690400,1394701199,299.17,1023.2,69,800
3,Ajman,"Ajman,Ajman,United Arab Emirates","25.41111,55.43504",1394701200,1394711999,300.13,1021.92,64,803
4,Ajman,"Ajman,Ajman,United Arab Emirates","25.41111,55.43504",1394712000,1394722799,300.98,1019.61,60,804
5,Al Ain,"Al Ain,Abu Dhabi,United Arab Emirates","24.20732,55.68615",1394679600,1394690399,295.15,982.89,40,800
6,Al Ain,"Al Ain,Abu Dhabi,United Arab Emirates","24.20732,55.68615",1394690400,1394701199,299.96,983.56,34,800
7,Al Ain,"Al Ain,Abu Dhabi,United Arab Emirates","24.20732,55.68615",1394701200,1394711999,303.63,982.04,27,803
8,Al Ain,"Al Ain,Abu Dhabi,United Arab Emirates","24.20732,55.68615",1394712000,1394722799,303.84,980.46,23,804
9,Dubai,"Dubai,Dubai,United Arab Emirates","25.258169,55.304722",1394679600,1394690399,297.76,1020.66,72,800
10,Dubai,"Dubai,Dubai,United Arab Emirates","25.258169,55.304722",1394690400,1394701199,299.12,1023.2,69,800
11,Dubai,"Dubai,Dubai,United Arab Emirates","25.258169,55.304722",1394701200,1394711999,300.09,1021.92,64,803
12,Dubai,"Dubai,Dubai,United Arab Emirates","25.258169,55.304722",1394712000,1394722799,300.94,1019.61,60,804
13,Ras Al-Khaimah,"Ras Al-Khaimah,Ras al Khaimah,United Arab Emirates","25.80955,55.97211",1394679600,1394690399,299.15,999.34,100,802
14,Ras Al-Khaimah,"Ras Al-Khaimah,Ras al Khaimah,United Arab Emirates","25.80955,55.97211",1394690400,1394701199,302.36,1001.31,87,800
15,Ras Al-Khaimah,"Ras Al-Khaimah,Ras al Khaimah,United Arab Emirates","25.80955,55.97211",1394701200,1394711999,303.82,1000.12,76,802
16,Ras Al-Khaimah,"Ras Al-Khaimah,Ras al Khaimah,United Arab Emirates","25.80955,55.97211",1394712000,1394722799,303.26,997.97,76,802
17,Salta,"Salta,Salta Province,Argentina","-24.7859,-65.411659",1394679600,1394690399,290.94,827.25,98,803
18,Salta,"Salta,Salta Province,Argentina","-24.7859,-65.411659",1394690400,1394701199,290.5,825.9,97,500
19,Salta,"Salta,Salta Province,Argentina","-24.7859,-65.411659",1394701200,1394711999,290.42,824.95,97,804
20,Salta,"Salta,Salta Province,Argentina","-24.7859,-65.411659",1394712000,1394722799,291.97,825.31,86,800
21,Avellaneda,"Avellaneda,Buenos Aires Province,Argentina","-29.117611,-59.65834",1394679600,1394690399,291.51,1022.76,58,800
22,Avellaneda,"Avellaneda,Buenos Aires Province,Argentina","-29.117611,-59.65834",1394690400,1394701199,289.18,1021.9,64,800
23,Avellaneda,"Avellaneda,Buenos Aires Province,Argentina","-29.117611,-59.65834",1394701200,1394711999,288.56,1021.68,68,800
24,Avellaneda,"Avellaneda,Buenos Aires Province,Argentina","-29.117611,-59.65834",1394712000,1394722799,292.77,1022.29,72,800
25,Bahia Blanca,"Bahia Blanca,Buenos Aires Province,Argentina","-38.719601,-62.27243",1394679600,1394690399,293.15,1025.03,99,800
26,Bahia Blanca,"Bahia Blanca,Buenos Aires Province,Argentina","-38.719601,-62.27243",1394690400,1394701199,292.61,1026.36,100,803
27,Bahia Blanca,"Bahia Blanca,Buenos Aires Province,Argentina","-38.719601,-62.27243",1394701200,1394711999,292.82,1026.95,100,804
28,Bahia Blanca,"Bahia Blanca,Buenos Aires Province,Argentina","-38.719601,-62.27243",1394712000,1394722799,293.12,1028.37,100,500
29,Balcarce,"Balcarce,Buenos Aires Province,Argentina","-37.846161,-58.255219",1394679600,1394690399,287.56,1017.5,84,801
30,Balcarce,"Balcarce,Buenos Aires Province,Argentina","-37.846161,-58.255219",1394690400,1394701199,285.81,1017.12,81,802
31,Balcarce,"Balcarce,Buenos Aires Province,Argentina","-37.846161,-58.255219",1394701200,1394711999,286.32,1018.52,83,803
32,Balcarce,"Balcarce,Buenos Aires Province,Argentina","-37.846161,-58.255219",1394712000,1394722799,291.71,1020.1,86,804
33,Brandsen,"Brandsen,Buenos Aires Province,Argentina","-35.168419,-58.234268",1394679600,1394690399,290.86,1027.63,72,800
34,Brandsen,"Brandsen,Buenos Aires Province,Argentina","-35.168419,-58.234268",1394690400,1394701199,289.96,1026.6,78,800
35,Brandsen,"Brandsen,Buenos Aires Province,Argentina","-35.168419,-58.234268",1394701200,1394711999,289.82,1027.52,77,800
36,Brandsen,"Brandsen,Buenos Aires Province,Argentina","-35.168419,-58.234268",1394712000,1394722799,294.46,1028.61,71,801
37,Campana,"Campana,Buenos Aires Province,Argentina","-34.168739,-58.959141",1394679600,1394690399,293.06,1028.36,59,800
38,Campana,"Campana,Buenos Aires Province,Argentina","-34.168739,-58.959141",1394690400,1394701199,292.21,1027.5,63,800
39,Campana,"Campana,Buenos Aires Province,Argentina","-34.168739,-58.959141",1394701200,1394711999,291.26,1028,74,800
40,Campana,"Campana,Buenos Aires Province,Argentina","-34.168739,-58.959141",1394712000,1394722799,294.51,1029.02,67,800
41,Chacabuco,"Chacabuco,Buenos Aires Province,Argentina","-34.64167,-60.473888",1394679600,1394690399,291.66,1021.14,62,802
42,Chacabuco,"Chacabuco,Buenos Aires Province,Argentina","-34.64167,-60.473888",1394690400,1394701199,292.16,1019.88,50,803
43,Chacabuco,"Chacabuco,Buenos Aires Province,Argentina","-34.64167,-60.473888",1394701200,1394711999,290.92,1020.87,57,801
